replay_id,game_win,is_ot,tm_color,game_time,car_id,steer_sens,tm8_name,opp_name_1,opp_name_2,opp_url_1,opp_url_2,tm8_url,boost_per_min,boost_avg_amt,big_stoln_per_min,big_clctd_per_min,sml_clctd_per_min,pct_zero_boost,pct_full_boost,pct_0_25_boost,pct_25_50_boost,pct_75_100_boost,avg_speed,pct_supersonic,pct_slow,avg_powerslide_duration,powerslide_per_min,pct_ground,pct_high_air,avg_dist_to_ball,avg_dist_to_mates,pct_def_third,pct_off_third,pct_behind_ball,pct_most_back,percent_closest_to_ball,demos_given_per_min,demos_taken_per_min
a9ae0799-9512-4517-9c47-1b230173203b,False,False,orange,192.81975,23,1.4,Nycefuzzybuns99,BBa11er1010,D3lta Charli3,https://rocketleague.tracker.network/rocket-league/profile/xbl/BBa11er1010,https://rocketleague.tracker.network/rocket-league/profile/epic/D3lta Charli3,https://rocketleague.tracker.network/rocket-league/profile/psn/Nycefuzzybuns99,376,48.93,0.3111714437966028,2.489371550372822,9.957486201491289,14.109604,14.524262,26.540678,27.737751,30.392374,1524,13.993355,49.812756,0.2,5.912257432135453,62.211205,4.1618314,2633,3259,45.661694,23.023367,87.008804,44.37969,52.168552,0.0,0.3111714437966028
60ca9e4d-4f4f-48ef-851d-0aa8f699f989,False,False,orange,340.33295,23,1.4,Pter0dactylz,RoCket_LaUncha,Zibyns,https://rocketleague.tracker.network/rocket-league/profile/epic/RoCket_LaUncha,https://rocketleague.tracker.network/rocket-league/profile/epic/Zibyns,https://rocketleague.tracker.network/rocket-league/profile/epic/Pter0dactylz,410,49.1,0.5288938376375253,3.1733630258251515,12.16455826566308,8.994889,15.053431,32.368107,24.387985,26.962616,1581,18.76711,42.515236,0.23,7.404513726925353,58.66404,5.307937,2355,2963,53.648914,19.138037,69.84015,47.018738,46.832893,0.0,0.0
c2b59883-785f-430c-8f11-8ff45b347d28,False,False,orange,341.49283,23,1.4,Caveman,lNextGen,LeninVlad97,https://rocketleague.tracker.network/rocket-league/profile/psn/lNextGen,https://rocketleague.tracker.network/rocket-league/profile/psn/LeninVlad97,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198070779450,434,49.64,0.5270974503329982,3.6896821523309873,10.717648156770963,10.015094,11.672222,30.158152,28.083942,28.236012,1594,14.503212,42.829063,0.19,5.79807195366298,59.918446,4.758272,2477,3364,42.878933,23.62052,78.9838,53.707317,53.141315,0.3513983002219988,0.0
524899e0-3fc2-484d-9db2-3954cf32ac59,False,False,blue,330.03778,23,1.4,A Rasta Banana,quincy lumbert,m.ango.,https://rocketleague.tracker.network/rocket-league/profile/epic/quincy lumbert,https://rocketleague.tracker.network/rocket-league/profile/epic/m.ango.,https://rocketleague.tracker.network/rocket-league/profile/xbl/A Rasta Banana,469,51.11,1.2725815814177395,3.9995421130271813,9.81705791379399,13.363628,12.304394,28.160538,26.545029,23.71947,1547,15.052052,44.745865,0.16,6.362907907088697,56.896606,4.1915436,2601,3803,43.685127,23.205048,69.19568,42.305355,58.72188,0.1817973687739628,0.1817973687739628
2667ef3f-8fbf-4842-b126-55d8d377131c,False,False,orange,372.73462,23,1.4,Bork_lersner,xDonkeyHottie,scirito,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198090528199,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198277708699,https://rocketleague.tracker.network/rocket-league/profile/epic/Bork_lersner,425,49.17,0.8048621831800866,3.0584762960843292,11.911960311065283,11.892558,10.500844,28.616121,31.958511,23.415934,1630,21.379827,39.597546,0.36,5.47306284562459,59.84364,4.7579384,2317,3508,50.04836,24.372683,68.87593,57.41531,60.19301,0.0,0.0
14e3ada0-df95-4788-a076-bdc18b6f9bf4,False,False,blue,258.75037,23,1.4,DILLIGAF_526,Qwasz_9,Soggynoodle4,https://rocketleague.tracker.network/rocket-league/profile/epic/Qwasz_9,https://rocketleague.tracker.network/rocket-league/profile/epic/Soggynoodle4,https://rocketleague.tracker.network/rocket-league/profile/epic/DILLIGAF_526,350,44.23,0.4637674527769758,2.0869535374963912,9.043465329151028,6.9609365,9.516217,33.642056,37.72327,13.709227,1496,13.664071,59.933258,0.13,3.7101396222158063,73.494995,2.567297,2624,3382,73.953285,9.285873,68.99083,52.95179,46.15449,0.2318837263884879,0.2318837263884879
2474f7a3-9ade-4db3-8cd9-50edd094b214,False,False,orange,399.5428,23,1.4,Sushi8089,pgp217,freshdjr,https://rocketleague.tracker.network/rocket-league/profile/epic/pgp217,https://rocketleague.tracker.network/rocket-league/profile/epic/freshdjr,https://rocketleague.tracker.network/rocket-league/profile/xbl/Sushi8089,425,44.14,0.9010298771495819,3.153604570023537,13.365276511052132,10.584359,6.4045315,40.093426,28.101126,18.090134,1627,21.460306,42.02455,0.19,4.805492678131103,61.164097,2.454696,2669,3465,41.022038,25.804428,67.00133,49.06873,51.219913,0.6006865847663879,0.0
22e911c3-319b-40ec-b079-f140c30edb5c,False,False,blue,398.59286,23,1.4,Hammerhead Sharks are cool,quopixel,ChadoR.,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198097028028,https://rocketleague.tracker.network/rocket-league/profile/epic/ChadoR.,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198954179307,447,50.8,0.6021181613739895,3.913768048930932,9.633890581983833,11.958808,14.075774,29.746063,23.437416,28.182156,1584,17.622135,45.69401,0.26,3.3116498875569422,60.70909,2.468285,2838,3688,50.8857,17.966717,77.61441,52.14565,48.758503,0.3010590806869948,0.3010590806869948
c20246f3-02d3-477a-983a-d746195e8e2c,False,False,blue,417.7134,23,1.4,castrohood,mso389,mat4228701,https://rocketleague.tracker.network/rocket-league/profile/psn/mso389,https://rocketleague.tracker.network/rocket-league/profile/psn/mat4228701,https://rocketleague.tracker.network/rocket-league/profile/psn/castrohood,429,45.11,0.8618349327553294,4.165535508317426,10.91657581490084,17.31373,8.431875,40.51339,23.707743,20.44507,1505,13.407725,49.968258,0.32,4.883731285613534,64.34536,3.755433,2512,3016,49.330956,21.099281,74.506165,47.928005,45.416492,0.4309174663776647,0.4309174663776647
b72671e0-9171-4813-b443-748830ea1f50,False,False,blue,335.3959,23,1.4,GMARSH,charwing,SBM,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198108039839,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198084019964,https://rocketleague.tracker.network/rocket-league/profile/epic/GMARSH,421,45.39,0.8944653169582574,3.5778612678330295,10.375797676715786,15.354647,11.24853,37.616325,24.746063,21.215254,1596,18.44194,40.646263,0.12,5.724578028532847,54.952858,2.5987587,2419,3243,43.80296,25.6206,70.87361,47.059547,58.499783,0.5366791901749545,0.0
